Entry Date,Symbol,MarketCap,Sector,Target Month,Month Open,Month High,Month Low,Month Close,%High,%Low,%Close
01-09-2014,BAJFINANCE,Largecap,Financials,Oct-2014,26.25,27.82,24.48,27.09,5.98,-6.73,3.22
01-09-2014,SHREECEM,Largecap,Building Materials,Oct-2014,7980.33,8830.8,7807.88,8705.9,10.66,-2.16,9.09
01-09-2014,BAJAJHLDNG,Largecap,Financials,Oct-2014,1163.02,1214.97,1107.72,1161.8,4.47,-4.76,-0.1
01-09-2014,BRITANNIA,Largecap,FMCG,Oct-2014,594.27,672.05,564.84,665.0,13.09,-4.95,11.9
01-09-2014,SUPREMEIND,Largecap,Plastic products,Oct-2014,584.77,586.55,509.55,531.43,0.3,-12.86,-9.12
01-09-2014,HCLTECH,Largecap,I.T,Oct-2014,315.98,326.32,271.89,296.67,3.27,-13.95,-6.11
01-09-2014,NBCC,Largecap,Miscellaneous,Oct-2014,27.6,33.84,25.2,33.64,22.63,-8.69,21.88
03-11-2014,BAJAJHLDNG,Largecap,Financials,Dec-2014,1189.83,1227.54,1010.94,1176.3,3.17,-15.04,-1.14
03-11-2014,BOSCHLTD,Largecap,Auto,Dec-2014,17068.63,19001.08,16362.72,17482.38,11.32,-4.14,2.42
03-11-2014,HAVELLS,Largecap,Consumer Discretionary,Dec-2014,293.22,316.97,228.43,251.6,8.1,-22.09,-14.19
03-11-2014,KEI,Largecap,Industrials,Dec-2014,41.39,49.38,38.92,46.76,19.3,-5.96,12.98
03-11-2014,MARICO,Largecap,FMCG,Dec-2014,137.66,141.86,133.3,138.41,3.05,-3.17,0.54
03-11-2014,NAUKRI,Largecap,I.T,Dec-2014,185.5,187.03,154.52,162.96,0.83,-16.7,-12.15
01-12-2014,PIDILITIND,Largecap,Chemicals,Jan-2015,256.95,286.76,244.74,269.61,11.6,-4.75,4.93
01-12-2014,ZYDUSLIFE,Largecap,Healthcare,Jan-2015,293.45,312.47,289.94,297.65,6.48,-1.2,1.43
01-12-2014,PAGEIND,Largecap,Consumer Discretionary,Jan-2015,10465.96,11234.71,9569.08,10568.06,7.35,-8.57,0.98
01-12-2014,ADANIPORTS,Largecap,Transportation,Jan-2015,301.25,333.13,298.04,322.08,10.58,-1.07,6.91
01-12-2014,PERSISTENT,Largecap,I.T,Jan-2015,362.87,420.28,357.85,371.51,15.82,-1.38,2.38
01-01-2015,KOTAKBANK,Largecap,Bank,Feb-2015,131.06,135.62,122.74,132.82,3.48,-6.34,1.34
